distance,time
5.15540885925293,1617534110.7715096
5.1038079261779785,1617534110.8705153
5.099116802215576,1617534110.970521
5.075662136077881,1617534111.071527
4.995914936065674,1617534111.1715326
4.967769145965576,1617534111.2715383
4.934932231903076,1617534111.3715441
4.8458027839660645,1617534111.4715497
4.836421012878418,1617534111.5715556
4.742600917816162,1617534111.6715612
4.700382232666016,1617534111.7715669
4.686308860778809,1617534111.8695726
4.648780822753906,1617534111.9705782
4.60656213760376,1617534112.070584
4.550270080566406,1617534112.1705897
4.461141109466553,1617534112.2685952
4.479905128479004,1617534112.3706012
4.45644998550415,1617534112.4706068
4.404849052429199,1617534112.5706124
4.315720081329346,1617534112.6706183
4.343865871429443,1617534112.770624
4.235972881317139,1617534112.8686295
4.2312822341918945,1617534112.9686353
4.203135967254639,1617534113.068641
4.2641191482543945,1617534113.1686468
4.1843719482421875,1617534113.2686524
4.0858612060546875,1617534113.368658
4.114006996154785,1617534113.4686642
4.099934101104736,1617534113.5686698
4.165607929229736,1617534113.6706755
4.165607929229736,1617534113.7686813
3.949821949005127,1617534113.868687
3.8747661113739014,1617534113.9686925
3.851310968399048,1617534114.0686984
3.8325469493865967,1617534114.166704
3.77156400680542,1617534114.2677097
3.6871259212493896,1617534114.3677154
3.724653959274292,1617534114.4677212
3.6308341026306152,1617534114.5677269
3.7152719497680664,1617534114.6667325
3.7152719497680664,1617534114.7667382
3.85600209236145,1617534114.8667438
3.7668728828430176,1617534114.9657495
3.776254892349243,1617534115.0667553
4.034259796142578,1617534115.1667612
3.6683619022369385,1617534115.2667668
3.8325469493865967,1617534115.3677726
3.6965079307556152,1617534115.4667783
3.823164939880371,1617534115.566784
3.8747661113739014,1617534115.6667895
3.565160036087036,1617534115.7667956
3.565160036087036,1617534115.8668013
3.691817045211792,1617534115.966807
3.691817045211792,1617534116.0648127
3.6824350357055664,1617534116.1648183
3.6824350357055664,1617534116.264824
3.6824350357055664,1617534116.3648298
3.6824350357055664,1617534116.4648354
3.32122802734375,1617534116.5658412
3.32122802734375,1617534116.6658468
3.2790091037750244,1617534116.7658527
3.2790091037750244,1617534116.8638582
3.2790091037750244,1617534116.964864
3.2790091037750244,1617534117.0648696
3.2790091037750244,1617534117.1648755
3.2790091037750244,1617534117.262881
3.2790091037750244,1617534117.3628867
3.2790091037750244,1617534117.4628923
3.2790091037750244,1617534117.563898
3.2790091037750244,1617534117.6629038
3.2790091037750244,1617534117.7629097
3.2790091037750244,1617534117.8639154
3.2790091037750244,1617534117.963921
3.2790091037750244,1617534118.0639267
3.2790091037750244,1617534118.1639323
3.2790091037750244,1617534118.2659385
3.2790091037750244,1617534118.362944
3.2790091037750244,1617534118.4619496
3.2790091037750244,1617534118.5639555
3.2790091037750244,1617534118.661961
3.2790091037750244,1617534118.7619667
3.2790091037750244,1617534118.8629725
3.2790091037750244,1617534118.9629784
3.2790091037750244,1617534119.062984
3.2790091037750244,1617534119.1629899
3.2790091037750244,1617534119.2629955
3.2790091037750244,1617534119.363001
3.2790091037750244,1617534119.4630067
3.2790091037750244,1617534119.5610125
3.2790091037750244,1617534119.6610181
3.2790091037750244,1617534119.761024
3.2790091037750244,1617534119.8610296
3.2790091037750244,1617534119.9610353
3.2790091037750244,1617534120.062041
3.2790091037750244,1617534120.1610467
3.2790091037750244,1617534120.2610524
3.2790091037750244,1617534120.3610582
3.2790091037750244,1617534120.4610639
3.2790091037750244,1617534120.5610695
3.2790091037750244,1617534120.6630757
3.2790091037750244,1617534120.761081
3.077296018600464,1617534120.8610866
3.0679140090942383,1617534120.9610927
3.1335880756378174,1617534121.0610983
3.1335880756378174,1617534121.1591036
3.1335880756378174,1617534121.2601097
3.1335880756378174,1617534121.3601153
3.1335880756378174,1617534121.4601212
3.1335880756378174,1617534121.5591269
3.1335880756378174,1617534121.6581326
3.1335880756378174,1617534121.7601383
3.1335880756378174,1617534121.860144
2.791145086288452,1617534121.9581494
2.739543914794922,1617534122.0591552
2.673870086669922,1617534122.159161
2.6644880771636963,1617534122.2581668
2.6832520961761475,1617534122.3591726
2.7958359718322754,1617534122.4591782
2.4909210205078125,1617534122.5591838
2.533139944076538,1617534122.6591895
2.514375925064087,1617534122.7591953
2.514375925064087,1617534122.859201
2.514375925064087,1617534122.9572067
