distance,time
6.5064167976379395,1617526304.3610086
6.539254188537598,1617526304.8610373
6.614309787750244,1617526305.3590655
6.633073806762695,1617526305.8590944
6.6190009117126465,1617526306.3591228
6.6190009117126465,1617526306.8571513
6.8441691398620605,1617526307.3571799
6.853550910949707,1617526307.8572085
6.689365863800049,1617526308.355237
6.4735798835754395,1617526308.8552656
6.15928316116333,1617526309.3542943
5.854368209838867,1617526309.8543227
5.662036895751953,1617526310.3543513
5.554143905639648,1617526310.8523798
5.117880821228027,1617526311.3524084
4.897404193878174,1617526311.852437
4.667544841766357,1617526312.3524656
4.569034099578857,1617526312.8504941
4.339175224304199,1617526313.3505225
4.2172088623046875,1617526313.8505514
4.109315872192383,1617526314.3495798
4.1186981201171875,1617526314.8496084
4.081170082092285,1617526315.349637
4.090551853179932,1617526315.8476655
3.9545130729675293,1617526316.3466942
3.9732770919799805,1617526316.8447227
4.0061140060424805,1617526317.3457513
4.442377090454102,1617526317.8457797
4.301647186279297,1617526318.3438082
4.301647186279297,1617526318.843837
4.301647186279297,1617526319.3438656
4.301647186279297,1617526319.841894
4.301647186279297,1617526320.3429227
4.301647186279297,1617526320.8419511
4.301647186279297,1617526321.3409798
4.301647186279297,1617526321.8400083
4.301647186279297,1617526322.3400369
4.301647186279297,1617526322.8400655
4.301647186279297,1617526323.339094
4.301647186279297,1617526323.8381226
4.301647186279297,1617526324.3381512
4.301647186279297,1617526324.8371797
4.301647186279297,1617526325.3372083
4.301647186279297,1617526325.8362367
4.301647186279297,1617526326.3352654
4.301647186279297,1617526326.835294
3.8137829303741455,1617526327.3343227
3.597996950149536,1617526327.8333511
3.447885036468506,1617526328.3333795
3.1335880756378174,1617526328.8324084
